event,key,key_hold_time,timestamp,inter_key_delay,is_backspace,session_time_of_day,user_id,session_id
press,a,,1750045205.807,0.17,0.0,0.382,user1,s4
release,a,0.06,1750045205.867,,,,user1,s4
press,Key.space,,1750045205.967,0.161,0.0,0.382,user1,s4
release,Key.space,0.05,1750045206.017,,,,user1,s4
press,1,,1750045206.235,0.267,0.0,0.382,user1,s4
release,1,0.064,1750045206.299,,,,user1,s4
press,2,,1750045206.415,0.181,0.0,0.382,user1,s4
release,2,0.06,1750045206.476,,,,user1,s4
press,.,,1750045206.797,0.381,0.0,0.382,user1,s4
release,.,0.044,1750045206.84,,,,user1,s4
press,1,,1750045207.044,0.247,0.0,0.382,user1,s4
release,1,0.053,1750045207.097,,,,user1,s4
press,Key.space,,1750045207.19,0.146,0.0,0.382,user1,s4
release,Key.space,0.045,1750045207.235,,,,user1,s4
press,i,,1750045207.461,0.271,0.0,0.382,user1,s4
release,i,0.023,1750045207.484,,,,user1,s4
press,n,,1750045207.653,0.192,0.0,0.382,user1,s4
release,n,0.054,1750045207.707,,,,user1,s4
press,c,,1750045207.904,0.251,0.0,0.382,user1,s4
release,c,0.056,1750045207.96,,,,user1,s4
press,h,,1750045208.031,0.127,0.0,0.382,user1,s4
release,h,0.052,1750045208.082,,,,user1,s4
press,Key.space,,1750045208.193,0.162,0.0,0.382,user1,s4
release,Key.space,0.058,1750045208.25,,,,user1,s4
press,x,,1750045208.72,0.527,0.0,0.382,user1,s4
release,x,0.047,1750045208.767,,,,user1,s4
press,l,,1750045208.867,0.147,0.0,0.382,user1,s4
release,l,0.054,1750045208.921,,,,user1,s4
press,Key.space,,1750045209.11,0.244,0.0,0.382,user1,s4
release,Key.space,0.032,1750045209.142,,,,user1,s4
press,d,,1750045209.305,0.194,0.0,0.382,user1,s4
release,d,0.064,1750045209.369,,,,user1,s4
press,i,,1750045209.508,0.203,0.0,0.382,user1,s4
release,i,0.053,1750045209.561,,,,user1,s4
press,Key.backspace,,1750045210.354,0.846,1.0,0.3821,user1,s4
release,Key.backspace,0.052,1750045210.406,,,,user1,s4
press,i,,1750045210.664,0.31,0.0,0.3821,user1,s4
release,i,0.054,1750045210.718,,,,user1,s4
press,s,,1750045210.88,0.217,0.0,0.3821,user1,s4
release,s,0.035,1750045210.916,,,,user1,s4
press,p,,1750045211.048,0.167,0.0,0.3821,user1,s4
release,p,0.044,1750045211.091,,,,user1,s4
press,l,,1750045211.299,0.252,0.0,0.3821,user1,s4
release,l,0.036,1750045211.335,,,,user1,s4
press,a,,1750045211.467,0.168,0.0,0.3821,user1,s4
release,a,0.064,1750045211.531,,,,user1,s4
press,y,,1750045211.826,0.359,0.0,0.3821,user1,s4
release,y,0.058,1750045211.884,,,,user1,s4
press,Key.space,,1750045212.561,0.735,0.0,0.3821,user1,s4
release,Key.space,0.016,1750045212.577,,,,user1,s4
press,w,,1750045213.687,1.126,0.0,0.3821,user1,s4
release,w,0.06,1750045213.748,,,,user1,s4
press,i,,1750045213.974,0.287,0.0,0.3821,user1,s4
release,i,0.015,1750045213.989,,,,user1,s4
press,t,,1750045214.17,0.196,0.0,0.3821,user1,s4
release,t,0.074,1750045214.244,,,,user1,s4
press,h,,1750045214.305,0.135,0.0,0.3821,user1,s4
release,h,0.044,1750045214.349,,,,user1,s4
press,Key.space,,1750045214.514,0.208,0.0,0.3821,user1,s4
release,Key.space,0.057,1750045214.571,,,,user1,s4
press,s,,1750045214.689,0.175,0.0,0.3821,user1,s4
release,s,0.06,1750045214.749,,,,user1,s4
press,u,,1750045214.991,0.302,0.0,0.3821,user1,s4
release,u,0.06,1750045215.052,,,,user1,s4
press,p,,1750045215.309,0.318,0.0,0.3821,user1,s4
release,p,0.056,1750045215.365,,,,user1,s4
press,p,,1750045215.445,0.136,0.0,0.3821,user1,s4
release,p,0.07,1750045215.514,,,,user1,s4
press,o,,1750045215.621,0.176,0.0,0.3821,user1,s4
release,o,0.064,1750045215.685,,,,user1,s4
press,e,,1750045215.817,0.197,0.0,0.3821,user1,s4
release,e,0.06,1750045215.878,,,,user1,s4
press,Key.backspace,,1750045216.34,0.522,1.0,0.3821,user1,s4
release,Key.backspace,0.052,1750045216.392,,,,user1,s4
press,r,,1750045216.551,0.211,0.0,0.3821,user1,s4
release,r,0.036,1750045216.587,,,,user1,s4
press,t,,1750045216.706,0.155,0.0,0.3821,user1,s4
release,t,0.063,1750045216.769,,,,user1,s4
press,Key.space,,1750045216.841,0.135,0.0,0.3821,user1,s4
release,Key.space,0.053,1750045216.895,,,,user1,s4
press,f,,1750045217.323,0.482,0.0,0.3821,user1,s4
release,f,0.067,1750045217.39,,,,user1,s4
press,o,,1750045217.5,0.177,0.0,0.3821,user1,s4
release,o,0.073,1750045217.573,,,,user1,s4
press,r,,1750045217.72,0.22,0.0,0.3821,user1,s4
release,r,0.035,1750045217.755,,,,user1,s4
press,Key.space,,1750045217.816,0.096,0.0,0.3821,user1,s4
release,Key.space,0.052,1750045217.868,,,,user1,s4
press,1,,1750045218.8,0.984,0.0,0.3822,user1,s4
release,1,0.065,1750045218.865,,,,user1,s4
press,2,,1750045218.979,0.179,0.0,0.3822,user1,s4
release,2,0.072,1750045219.05,,,,user1,s4
press,0,,1750045219.166,0.187,0.0,0.3822,user1,s4
release,0,0.066,1750045219.232,,,,user1,s4
press,h,,1750045219.568,0.402,0.0,0.3822,user1,s4
release,h,0.06,1750045219.628,,,,user1,s4
press,z,,1750045220.064,0.497,0.0,0.3822,user1,s4
release,z,0.056,1750045220.12,,,,user1,s4
press,Key.space,,1750045220.324,0.26,0.0,0.3822,user1,s4
release,Key.space,0.032,1750045220.356,,,,user1,s4
press,r,,1750045221.44,1.116,0.0,0.3822,user1,s4
release,r,0.042,1750045221.482,,,,user1,s4
press,e,,1750045221.584,0.144,0.0,0.3822,user1,s4
release,e,0.052,1750045221.636,,,,user1,s4
press,f,,1750045221.921,0.337,0.0,0.3822,user1,s4
release,f,0.043,1750045221.964,,,,user1,s4
press,r,,1750045222.152,0.23,0.0,0.3822,user1,s4
release,r,0.047,1750045222.199,,,,user1,s4
press,e,,1750045222.308,0.156,0.0,0.3822,user1,s4
release,e,0.063,1750045222.37,,,,user1,s4
press,s,,1750045222.541,0.233,0.0,0.3822,user1,s4
release,s,0.054,1750045222.595,,,,user1,s4
press,h,,1750045222.728,0.188,0.0,0.3822,user1,s4
release,h,0.057,1750045222.785,,,,user1,s4
press,Key.space,,1750045222.915,0.187,0.0,0.3822,user1,s4
release,Key.space,0.043,1750045222.958,,,,user1,s4
press,r,,1750045223.104,0.189,0.0,0.3822,user1,s4
release,r,0.063,1750045223.167,,,,user1,s4
press,a,,1750045223.391,0.287,0.0,0.3822,user1,s4
release,a,0.053,1750045223.444,,,,user1,s4
press,t,,1750045223.57,0.179,0.0,0.3822,user1,s4
release,t,0.036,1750045223.606,,,,user1,s4
press,e,,1750045223.704,0.134,0.0,0.3822,user1,s4
release,e,0.063,1750045223.767,,,,user1,s4
press,Key.space,,1750045223.861,0.158,0.0,0.3822,user1,s4
release,Key.space,0.043,1750045223.904,,,,user1,s4
press,a,,1750045224.214,0.353,0.0,0.3822,user1,s4
release,a,0.059,1750045224.273,,,,user1,s4
press,n,,1750045224.368,0.154,0.0,0.3822,user1,s4
release,n,0.043,1750045224.411,,,,user1,s4
press,d,,1750045224.62,0.252,0.0,0.3822,user1,s4
release,d,0.034,1750045224.654,,,,user1,s4
press,Key.space,,1750045224.724,0.104,0.0,0.3822,user1,s4
release,Key.space,0.053,1750045224.777,,,,user1,s4
press,2,,1750045225.071,0.347,0.0,0.3822,user1,s4
release,2,0.047,1750045225.118,,,,user1,s4
press,.,,1750045226.14,1.069,0.0,0.3822,user1,s4
release,.,0.053,1750045226.193,,,,user1,s4
press,5,,1750045226.661,0.521,0.0,0.3822,user1,s4
release,5,0.051,1750045226.713,,,,user1,s4
press,k,,1750045227.08,0.418,0.0,0.3823,user1,s4
release,k,0.029,1750045227.108,,,,user1,s4
press,Key.space,,1750045227.47,0.39,0.0,0.3823,user1,s4
release,Key.space,0.018,1750045227.488,,,,user1,s4
press,e,,1750045228.49,1.02,0.0,0.3823,user1,s4
release,e,0.05,1750045228.54,,,,user1,s4
press,Key.backspace,,1750045229.12,0.631,1.0,0.3823,user1,s4
release,Key.backspace,0.08,1750045229.2,,,,user1,s4
press,r,,1750045229.36,0.24,0.0,0.3823,user1,s4
release,r,0.028,1750045229.388,,,,user1,s4
press,e,,1750045229.522,0.162,0.0,0.3823,user1,s4
release,e,0.014,1750045229.536,,,,user1,s4
press,s,,1750045229.87,0.347,0.0,0.3823,user1,s4
release,s,0.029,1750045229.899,,,,user1,s4
press,o,,1750045230.141,0.271,0.0,0.3823,user1,s4
release,o,0.053,1750045230.194,,,,user1,s4
press,l,,1750045230.38,0.239,0.0,0.3823,user1,s4
release,l,0.025,1750045230.404,,,,user1,s4
press,u,,1750045230.67,0.291,0.0,0.3823,user1,s4
release,u,0.054,1750045230.725,,,,user1,s4
press,t,,1750045230.951,0.281,0.0,0.3823,user1,s4
release,t,0.032,1750045230.983,,,,user1,s4
press,i,,1750045231.94,0.989,0.0,0.3823,user1,s4
release,i,0.039,1750045231.979,,,,user1,s4
press,o,,1750045232.072,0.132,0.0,0.3823,user1,s4
release,o,0.066,1750045232.137,,,,user1,s4
press,n,,1750045232.298,0.227,0.0,0.3823,user1,s4
release,n,0.046,1750045232.345,,,,user1,s4
press,Key.space,,1750045232.458,0.16,0.0,0.3823,user1,s4
release,Key.space,0.061,1750045232.519,,,,user1,s4
press,s,,1750045232.781,0.323,0.0,0.3823,user1,s4
release,s,0.038,1750045232.819,,,,user1,s4
press,u,,1750045233.039,0.259,0.0,0.3823,user1,s4
release,u,0.032,1750045233.072,,,,user1,s4
press,p,,1750045233.386,0.346,0.0,0.3823,user1,s4
release,p,0.037,1750045233.423,,,,user1,s4
press,p,,1750045233.526,0.14,0.0,0.3823,user1,s4
release,p,0.049,1750045233.574,,,,user1,s4
press,o,,1750045233.682,0.156,0.0,0.3823,user1,s4
release,o,0.062,1750045233.744,,,,user1,s4
press,r,,1750045233.92,0.239,0.0,0.3823,user1,s4
release,r,0.055,1750045233.976,,,,user1,s4
press,t,,1750045234.109,0.188,0.0,0.3823,user1,s4
release,t,0.066,1750045234.175,,,,user1,s4
press,Key.space,,1750045234.681,0.572,0.0,0.3823,user1,s4
release,Key.space,0.043,1750045234.724,,,,user1,s4
press,t,,1750045236.02,1.339,0.0,0.3824,user1,s4
release,t,0.03,1750045236.051,,,,user1,s4
press,h,,1750045236.121,0.101,0.0,0.3824,user1,s4
release,h,0.058,1750045236.179,,,,user1,s4
press,e,,1750045236.282,0.162,0.0,0.3824,user1,s4
release,e,0.072,1750045236.354,,,,user1,s4
press,r,,1750045236.462,0.179,0.0,0.3824,user1,s4
release,r,0.056,1750045236.517,,,,user1,s4
press,e,,1750045236.623,0.161,0.0,0.3824,user1,s4
release,e,0.068,1750045236.69,,,,user1,s4
press,Key.space,,1750045236.776,0.154,0.0,0.3824,user1,s4
release,Key.space,0.056,1750045236.832,,,,user1,s4
press,i,,1750045237.07,0.294,0.0,0.3824,user1,s4
release,i,0.041,1750045237.111,,,,user1,s4
press,s,,1750045237.276,0.206,0.0,0.3824,user1,s4
release,s,0.067,1750045237.343,,,,user1,s4
press,Key.space,,1750045237.387,0.111,0.0,0.3824,user1,s4
release,Key.space,0.065,1750045237.451,,,,user1,s4
press,6,,1750045238.392,1.006,0.0,0.3824,user1,s4
release,6,0.049,1750045238.441,,,,user1,s4
press,0,,1750045238.607,0.215,0.0,0.3824,user1,s4
release,0,0.059,1750045238.666,,,,user1,s4
press,0,,1750045238.767,0.16,0.0,0.3824,user1,s4
release,0,0.031,1750045238.799,,,,user1,s4
press,Key.space,,1750045238.996,0.228,0.0,0.3824,user1,s4
release,Key.space,0.071,1750045239.067,,,,user1,s4
press,n,,1750045239.772,0.777,0.0,0.3824,user1,s4
release,n,0.063,1750045239.835,,,,user1,s4
press,i,,1750045239.98,0.208,0.0,0.3824,user1,s4
release,i,0.053,1750045240.033,,,,user1,s4
press,t,,1750045240.212,0.232,0.0,0.3824,user1,s4
release,t,0.062,1750045240.274,,,,user1,s4
press,s,,1750045240.491,0.279,0.0,0.3824,user1,s4
release,s,0.059,1750045240.55,,,,user1,s4
press,Key.space,,1750045240.619,0.128,0.0,0.3824,user1,s4
release,Key.space,0.059,1750045240.678,,,,user1,s4
press,o,,1750045240.957,0.337,0.0,0.3824,user1,s4
release,o,0.071,1750045241.028,,,,user1,s4
press,f,,1750045241.184,0.227,0.0,0.3824,user1,s4
release,f,0.064,1750045241.248,,,,user1,s4
press,Key.space,,1750045241.291,0.107,0.0,0.3824,user1,s4
release,Key.space,0.058,1750045241.349,,,,user1,s4
press,p,,1750045241.654,0.364,0.0,0.3824,user1,s4
release,p,0.077,1750045241.731,,,,user1,s4
press,e,,1750045241.87,0.216,0.0,0.3824,user1,s4
release,e,0.061,1750045241.931,,,,user1,s4
press,a,,1750045242.086,0.216,0.0,0.3824,user1,s4
release,a,0.075,1750045242.161,,,,user1,s4
press,k,,1750045242.239,0.152,0.0,0.3824,user1,s4
release,k,0.052,1750045242.29,,,,user1,s4
press,Key.space,,1750045242.446,0.207,0.0,0.3824,user1,s4
release,Key.space,0.049,1750045242.495,,,,user1,s4
press,b,,1750045242.794,0.348,0.0,0.3824,user1,s4
release,b,0.038,1750045242.832,,,,user1,s4
press,r,,1750045243.025,0.231,0.0,0.3824,user1,s4
release,r,0.075,1750045243.1,,,,user1,s4
press,i,,1750045243.52,0.495,0.0,0.3824,user1,s4
release,i,0.03,1750045243.55,,,,user1,s4
press,g,,1750045243.789,0.269,0.0,0.3824,user1,s4
release,g,0.071,1750045243.86,,,,user1,s4
press,h,,1750045243.901,0.112,0.0,0.3824,user1,s4
release,h,0.06,1750045243.961,,,,user1,s4
press,t,,1750045244.016,0.115,0.0,0.3825,user1,s4
release,t,0.066,1750045244.082,,,,user1,s4
press,n,,1750045244.299,0.283,0.0,0.3825,user1,s4
release,n,0.058,1750045244.357,,,,user1,s4
press,e,,1750045244.507,0.208,0.0,0.3825,user1,s4
release,e,0.064,1750045244.571,,,,user1,s4
press,s,,1750045245.054,0.547,0.0,0.3825,user1,s4
release,s,0.045,1750045245.099,,,,user1,s4
press,s,,1750045245.185,0.131,0.0,0.3825,user1,s4
release,s,0.073,1750045245.258,,,,user1,s4
press,Key.space,,1750045245.612,0.427,0.0,0.3825,user1,s4
release,Key.space,0.071,1750045245.682,,,,user1,s4
press,t,,1750045246.55,0.938,0.0,0.3825,user1,s4
release,t,0.039,1750045246.589,,,,user1,s4
press,h,,1750045246.643,0.093,0.0,0.3825,user1,s4
release,h,0.056,1750045246.699,,,,user1,s4
press,e,,1750045246.794,0.151,0.0,0.3825,user1,s4
release,e,0.092,1750045246.886,,,,user1,s4
press,r,,1750045246.978,0.184,0.0,0.3825,user1,s4
release,r,0.066,1750045247.044,,,,user1,s4
press,e,,1750045247.137,0.158,0.0,0.3825,user1,s4
release,e,0.076,1750045247.212,,,,user1,s4
press,Key.space,,1750045247.256,0.119,0.0,0.3825,user1,s4
release,Key.space,0.05,1750045247.306,,,,user1,s4
press,i,,1750045247.486,0.231,0.0,0.3825,user1,s4
release,i,0.06,1750045247.547,,,,user1,s4
press,s,,1750045247.615,0.128,0.0,0.3825,user1,s4
release,s,0.059,1750045247.673,,,,user1,s4
press,Key.space,,1750045247.747,0.133,0.0,0.3825,user1,s4
release,Key.space,0.032,1750045247.78,,,,user1,s4
press,1,,1750045248.119,0.372,0.0,0.3825,user1,s4
release,1,0.064,1750045248.183,,,,user1,s4
press,0,,1750045248.365,0.246,0.0,0.3825,user1,s4
release,0,0.054,1750045248.418,,,,user1,s4
press,0,,1750045248.698,0.333,0.0,0.3825,user1,s4
release,0,0.047,1750045248.745,,,,user1,s4
press,0,,1750045248.842,0.144,0.0,0.3825,user1,s4
release,0,0.065,1750045248.907,,,,user1,s4
press,Key.space,,1750045249.296,0.454,0.0,0.3825,user1,s4
release,Key.space,0.052,1750045249.349,,,,user1,s4
press,m,,1750045249.475,0.178,0.0,0.3825,user1,s4
release,m,0.058,1750045249.533,,,,user1,s4
press,a,,1750045249.643,0.169,0.0,0.3825,user1,s4
release,a,0.07,1750045249.713,,,,user1,s4
press,h,,1750045250.421,0.777,0.0,0.3825,user1,s4
release,h,0.036,1750045250.457,,,,user1,s4
press,Key.space,,1750045250.676,0.256,0.0,0.3825,user1,s4
release,Key.space,0.043,1750045250.72,,,,user1,s4
press,b,,1750045251.77,1.094,0.0,0.3825,user1,s4
release,b,0.019,1750045251.79,,,,user1,s4
press,a,,1750045251.875,0.105,0.0,0.3825,user1,s4
release,a,0.061,1750045251.936,,,,user1,s4
press,t,,1750045252.28,0.405,0.0,0.3825,user1,s4
release,t,0.048,1750045252.328,,,,user1,s4
press,t,,1750045252.415,0.135,0.0,0.3825,user1,s4
release,t,0.062,1750045252.477,,,,user1,s4
press,e,,1750045252.624,0.209,0.0,0.3825,user1,s4
release,e,0.069,1750045252.693,,,,user1,s4
press,r,,1750045252.788,0.164,0.0,0.3825,user1,s4
release,r,0.072,1750045252.86,,,,user1,s4
press,y,,1750045252.939,0.151,0.0,0.3825,user1,s4
release,y,0.061,1750045253.0,,,,user1,s4
press,Key.space,,1750045253.152,0.213,0.0,0.3826,user1,s4
release,Key.space,0.037,1750045253.189,,,,user1,s4
press,w,,1750045253.485,0.333,0.0,0.3826,user1,s4
release,w,0.066,1750045253.551,,,,user1,s4
press,i,,1750045253.619,0.134,0.0,0.3826,user1,s4
release,i,0.067,1750045253.687,,,,user1,s4
press,t,,1750045253.901,0.281,0.0,0.3826,user1,s4
release,t,0.048,1750045253.949,,,,user1,s4
press,h,,1750045254.008,0.108,0.0,0.3826,user1,s4
release,h,0.047,1750045254.055,,,,user1,s4
press,Key.space,,1750045254.222,0.214,0.0,0.3826,user1,s4
release,Key.space,0.054,1750045254.277,,,,user1,s4
press,s,,1750045255.34,1.118,0.0,0.3826,user1,s4
release,s,0.044,1750045255.384,,,,user1,s4
press,u,,1750045255.791,0.451,0.0,0.3826,user1,s4
release,u,0.033,1750045255.824,,,,user1,s4
press,p,,1750045256.101,0.31,0.0,0.3826,user1,s4
release,p,0.062,1750045256.163,,,,user1,s4
press,p,,1750045256.241,0.14,0.0,0.3826,user1,s4
release,p,0.079,1750045256.321,,,,user1,s4
press,o,,1750045256.434,0.192,0.0,0.3826,user1,s4
release,o,0.069,1750045256.503,,,,user1,s4
press,r,,1750045256.69,0.256,0.0,0.3826,user1,s4
release,r,0.043,1750045256.733,,,,user1,s4
press,t,,1750045256.871,0.182,0.0,0.3826,user1,s4
release,t,0.045,1750045256.917,,,,user1,s4
press,Key.space,,1750045257.021,0.149,0.0,0.3826,user1,s4
release,Key.space,0.038,1750045257.058,,,,user1,s4
press,f,,1750045257.33,0.309,0.0,0.3826,user1,s4
release,f,0.06,1750045257.389,,,,user1,s4
press,o,,1750045257.484,0.155,0.0,0.3826,user1,s4
release,o,0.064,1750045257.548,,,,user1,s4
press,r,,1750045257.691,0.206,0.0,0.3826,user1,s4
release,r,0.075,1750045257.765,,,,user1,s4
press,Key.space,,1750045257.817,0.126,0.0,0.3826,user1,s4
release,Key.space,0.044,1750045257.861,,,,user1,s4
press,3,,1750045258.19,0.374,0.0,0.3826,user1,s4
release,3,0.035,1750045258.225,,,,user1,s4
press,3,,1750045258.313,0.123,0.0,0.3826,user1,s4
release,3,0.059,1750045258.372,,,,user1,s4
press,w,,1750045258.662,0.349,0.0,0.3826,user1,s4
release,w,0.075,1750045258.737,,,,user1,s4
press,Key.space,,1750045258.817,0.154,0.0,0.3826,user1,s4
release,Key.space,0.054,1750045258.871,,,,user1,s4
press,f,,1750045259.3,0.483,0.0,0.3826,user1,s4
release,f,0.04,1750045259.339,,,,user1,s4
press,a,,1750045259.544,0.244,0.0,0.3826,user1,s4
release,a,0.032,1750045259.576,,,,user1,s4
press,s,,1750045259.679,0.135,0.0,0.3826,user1,s4
release,s,0.081,1750045259.76,,,,user1,s4
press,t,,1750045259.96,0.281,0.0,0.3826,user1,s4
release,t,0.038,1750045259.998,,,,user1,s4
press,Key.space,,1750045260.11,0.149,0.0,0.3826,user1,s4
release,Key.space,0.059,1750045260.169,,,,user1,s4
press,c,,1750045260.511,0.402,0.0,0.3826,user1,s4
release,c,0.06,1750045260.571,,,,user1,s4
press,h,,1750045260.69,0.179,0.0,0.3826,user1,s4
release,h,0.048,1750045260.738,,,,user1,s4
press,a,,1750045260.866,0.176,0.0,0.3826,user1,s4
release,a,0.075,1750045260.941,,,,user1,s4
press,r,,1750045261.16,0.294,0.0,0.3827,user1,s4
release,r,0.05,1750045261.21,,,,user1,s4
press,g,,1750045261.434,0.274,0.0,0.3827,user1,s4
release,g,0.066,1750045261.5,,,,user1,s4
press,i,,1750045261.671,0.237,0.0,0.3827,user1,s4
release,i,0.041,1750045261.712,,,,user1,s4
press,n,,1750045261.823,0.152,0.0,0.3827,user1,s4
release,n,0.063,1750045261.886,,,,user1,s4
press,g,,1750045262.15,0.328,0.0,0.3827,user1,s4
release,g,0.041,1750045262.191,,,,user1,s4
press,Key.space,,1750045262.354,0.203,0.0,0.3827,user1,s4
release,Key.space,0.063,1750045262.417,,,,user1,s4
press,h,,1750045264.49,2.136,0.0,0.3827,user1,s4
release,h,0.043,1750045264.533,,,,user1,s4
press,y,,1750045265.06,0.57,0.0,0.3827,user1,s4
release,y,0.063,1750045265.123,,,,user1,s4
press,p,,1750045265.416,0.357,0.0,0.3827,user1,s4
release,p,0.057,1750045265.473,,,,user1,s4
press,e,,1750045265.651,0.235,0.0,0.3827,user1,s4
release,e,0.071,1750045265.723,,,,user1,s4
press,r,,1750045265.834,0.182,0.0,0.3827,user1,s4
release,r,0.057,1750045265.891,,,,user1,s4
press,o,,1750045266.085,0.252,0.0,0.3827,user1,s4
release,o,0.063,1750045266.148,,,,user1,s4
press,s,,1750045266.891,0.805,0.0,0.3827,user1,s4
release,s,0.073,1750045266.964,,,,user1,s4
press,Key.space,,1750045267.111,0.22,0.0,0.3827,user1,s4
release,Key.space,0.058,1750045267.169,,,,user1,s4
press,r,,1750045269.47,2.359,0.0,0.3827,user1,s4
release,r,0.078,1750045269.547,,,,user1,s4
press,u,,1750045269.641,0.171,0.0,0.3827,user1,s4
release,u,0.085,1750045269.726,,,,user1,s4
press,n,,1750045269.829,0.189,0.0,0.3827,user1,s4
release,n,0.058,1750045269.887,,,,user1,s4
press,s,,1750045270.056,0.226,0.0,0.3828,user1,s4
release,s,0.076,1750045270.132,,,,user1,s4
press,Key.space,,1750045270.183,0.127,0.0,0.3828,user1,s4
release,Key.space,0.046,1750045270.229,,,,user1,s4
press,o,,1750045270.512,0.329,0.0,0.3828,user1,s4
release,o,0.077,1750045270.589,,,,user1,s4
press,n,,1750045270.7,0.189,0.0,0.3828,user1,s4
release,n,0.051,1750045270.752,,,,user1,s4
press,Key.space,,1750045270.873,0.172,0.0,0.3828,user1,s4
release,Key.space,0.059,1750045270.931,,,,user1,s4
press,t,,1750045271.041,0.169,0.0,0.3828,user1,s4
release,t,0.067,1750045271.109,,,,user1,s4
press,h,,1750045271.139,0.097,0.0,0.3828,user1,s4
release,h,0.07,1750045271.209,,,,user1,s4
press,e,,1750045271.295,0.156,0.0,0.3828,user1,s4
release,e,0.071,1750045271.366,,,,user1,s4
press,Key.space,,1750045271.395,0.1,0.0,0.3828,user1,s4
release,Key.space,0.058,1750045271.453,,,,user1,s4
press,t,,1750045271.87,0.475,0.0,0.3828,user1,s4
release,t,0.046,1750045271.915,,,,user1,s4
press,a,,1750045272.204,0.334,0.0,0.3828,user1,s4
release,a,0.068,1750045272.271,,,,user1,s4
press,b,,1750045272.363,0.159,0.0,0.3828,user1,s4
release,b,0.06,1750045272.423,,,,user1,s4
press,l,,1750045272.702,0.339,0.0,0.3828,user1,s4
release,l,0.049,1750045272.751,,,,user1,s4
press,e,,1750045272.851,0.149,0.0,0.3828,user1,s4
release,e,0.079,1750045272.93,,,,user1,s4
press,t,,1750045273.08,0.229,0.0,0.3828,user1,s4
release,t,0.059,1750045273.139,,,,user1,s4
press,Key.space,,1750045273.202,0.122,0.0,0.3828,user1,s4
release,Key.space,0.051,1750045273.253,,,,user1,s4
press,o,,1750045273.448,0.245,0.0,0.3828,user1,s4
release,o,0.069,1750045273.517,,,,user1,s4
press,u,,1750045273.659,0.211,0.0,0.3828,user1,s4
release,u,0.069,1750045273.728,,,,user1,s4
press,t,,1750045273.881,0.222,0.0,0.3828,user1,s4
release,t,0.035,1750045273.915,,,,user1,s4
press,Key.space,,1750045273.941,0.06,0.0,0.3828,user1,s4
release,Key.space,0.049,1750045273.99,,,,user1,s4
press,o,,1750045274.21,0.27,0.0,0.3828,user1,s4
release,o,0.062,1750045274.273,,,,user1,s4
press,f,,1750045274.418,0.207,0.0,0.3828,user1,s4
release,f,0.075,1750045274.493,,,,user1,s4
press,Key.space,,1750045274.518,0.101,0.0,0.3828,user1,s4
release,Key.space,0.059,1750045274.577,,,,user1,s4
press,t,,1750045274.633,0.115,0.0,0.3828,user1,s4
release,t,0.061,1750045274.693,,,,user1,s4
press,h,,1750045274.729,0.096,0.0,0.3828,user1,s4
release,h,0.066,1750045274.794,,,,user1,s4
